OUT_ID	AO-Hands-Day11	AO-Hands-Day21	Bench-Day21	Bench11	Bucket-Water-after-dissection2	Bucket-Water1	Egg-Case0A	Egg-Case0B	Egg-Case0C	Egg-Case0D	Egg-Case16A	Egg-Case16B	Egg-Case16C	Egg-Case16D	Egg-Case26A	Egg-Case26B	Egg-Case26C	Egg-Case26D	Egg-Case30A	Egg-Case30B	Egg-Case30C	Egg-Case30D	Egg-Case33A	Egg-Case33B	Egg-Case33C	Egg-Case33D	Gill26A	Gill26B	Gill26C	Gill26D	Gill30A	Gill30B	Gill30C	Gill30D	Gill33A	Gill33B	Gill33C	Gill33D	GillAdult1	GillAdult2	GillAdult3	GillAdult4	Internal-Water0A	Internal-Water0B	Internal-Water0C	Internal-Water0D	Internal-Water16A	Internal-Water16B	Internal-Water26A	Internal-Water26B	Internal-Water26C	Internal-Water26D	Internal-Water30A	Internal-Water30B	Internal-Water30C	Internal-Water30D	Internal-Water33A	Internal-Water33B	Internal-Water33C	Internal-Water33D	KM-Hands-Day-11	KM-Hands-Day-21	MRC-Water-Cold3	MRC-Water-Cold4	MRC-Water1	MRC-Water2	Ocean-Water1	Ocean-Water2	Tail-Skin26A	Tail-Skin26B	Tail-Skin26C	Tail-Skin26D	Tail-Skin30A	Tail-Skin30B	Tail-Skin30C	Tail-Skin30D	Tail-Skin33A	Tail-Skin33B	Tail-Skin33C	Tail-Skin33D	Tail-SkinAdult1	Tail-SkinAdult2	Tail-SkinAdult3	Tail-SkinAdult4
Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Pyrinomonadales;Pyrinomonadaceae;RB41;NA	0	0	0	0	0	0	0	6.6499	18.3964	0	0	0	0	0	0	0	0	0	0	0	0	5.9456	2.6567	0	0	1.4841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2049	4.3885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0601	0	0	0.7749
Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Pyrinomonadales;Pyrinomonadaceae;RB41;uncultivated_soil_bacterium_clone_S027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6027
Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;Acanthopleuribacter_pedis	7.5362	0	0	63.884	0	0	9.2416	7.908	0	0	5.5742	0	0	0	4.6516	0	4.2283	3.3689	0	0	0	3.9332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.2821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4152	4.3074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.145	0	0	0	0	0	0
Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;Acidobacteria_bacterium_DG1540	0	0	0	0	0	38.0316	0	8.9863	0	0	0	9.4306	0	0	2.4626	12.5198	6.505	4.8288	9.7403	0	0	1.6465	2.7896	0	0	0	0	37.0321	0	0	0	0	0	0	0	0	0	0	0	0	6.8033	0	0	0	0	0	0	0	0	0	7.8253	0	0	0	13.2859	6.1474	0	0	17.4946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.375	0	0	0	0	0	0
Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;NA	0	0	0	0	0	0	5.0124	12.0417	8.6775	27.6682	0	7.9898	5.0989	15.9109	21.8899	4.4974	17.0756	4.2673	7.2193	11.836	8.5058	11.0678	0	0	0	0	14.241	0	25.038	0	0	0	0	12.8315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.2341	23.6752	0	0	3.8572	2.3223	8.8897	0	16.4908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;bacterium_N2yML4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;uncultured_Acidobacteria_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;uncultured_Acidobacteriaceae_bacterium	0	0	0	0	0	0	7.8318	7.0093	15.099	0	9.4065	0	0	20.765	1.5049	0	0	4.7165	4.0107	0	0	10.7935	8.6345	16.8154	0	4.1555	0	0	0	0	0	0	0	0	0	0	0	0	10.5899	0	0	13.1656	0	0	0	0	0	0	0	0	0	0	0	0	22.1432	0	7.3317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.7292
Bacteria;Acidobacteria;NA;NA;NA;NA;NA	0	0	0	0	0	0	0	0	0	0	0.6968	0	5.4813	0	0	4.7405	6.9929	4.7165	7.1048	2.9985	0	0	0	2.9104	0.4981	2.3746	0	0	0	0	0	0	0	23.5244	6.6509	5.9966	0	0	0	0	0	13.897	0	0	0	0	0	0	0	0	0	0	9.0536	0	0	6.284	2.5661	0	0	10.3554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.9657	0	0	0	0
Bacteria;Acidobacteria;Subgroup_17;Acidobacteria_bacterium_RBG_16_70_10;Acidobacteria_bacterium_RBG_16_70_10;Acidobacteria_bacterium_RBG_16_70_10;Acidobacteria_bacterium_RBG_16_70_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup_17;NA;NA;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5472	2.1879	0	0	0	1.1047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.341	0	0
Bacteria;Acidobacteria;Subgroup_21;bacterium_YC-LK-LKJ1;bacterium_YC-LK-LKJ1;bacterium_YC-LK-LKJ1;bacterium_YC-LK-LKJ1	0	0	0	0	0	0	0	0	0	0	5.8065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup_21;uncultured_hydrocarbon_seep_bacterium_BPC102;uncultured_hydrocarbon_seep_bacterium_BPC102;uncultured_hydrocarbon_seep_bacterium_BPC102;uncultured_hydrocarbon_seep_bacterium_BPC102	0	0	0	0	0	0	0	0	0	0	7.2001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup_22;NA;NA;NA;NA	0	0	0	0	0	0	5.6389	0	0	0	5.3419	0	0	0	2.189	6.9285	3.0899	7.9731	6.6463	2.0516	0	2.0123	2.1254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1557	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup_22;bacterium_enrichment_culture_clone_49;bacterium_enrichment_culture_clone_49;bacterium_enrichment_culture_clone_49;bacterium_enrichment_culture_clone_49	0	0	0	0	0	0	15.9768	0	0	0	5.2258	0	0	0	4.9252	4.6189	2.7646	0	1.9481	1.4203	0	14.4523	2.6567	0	0.5977	1.1873	0	0	0	0	0	0	0	0	9.1449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0055	0	0	0
Bacteria;Acidobacteria;Subgroup_22;uncultured_Holophaga/Acidobacterium_Sva0515;uncultured_Holophaga/Acidobacterium_Sva0515;uncultured_Holophaga/Acidobacterium_Sva0515;uncultured_Holophaga/Acidobacterium_Sva0515	0	0	0	0	0	0	0	6.8296	0	0	0	0	0	0	0	1.9448	0	1.3476	0	0	0	0	4.5165	0	0	0	0	0	0	0	0	0	0	31.3658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5081	3.116	0	0	0	0	0	0	0	0	0	0	0	0	91.6844	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup_22;uncultured_deep-sea_bacterium;uncultured_deep-sea_bacterium;uncultured_deep-sea_bacterium;uncultured_deep-sea_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup_22;uncultured_sediment_bacterium;uncultured_sediment_bacterium;uncultured_sediment_bacterium;uncultured_sediment_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9515	0	0	0	0	3.8418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup_26;uncultured_sediment_bacterium;uncultured_sediment_bacterium;uncultured_sediment_bacterium;uncultured_sediment_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9014	0	0	0	0	0	18.7851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup_6;Acidobacteria_bacterium_SCN_69-37;Acidobacteria_bacterium_SCN_69-37;Acidobacteria_bacterium_SCN_69-37;Acidobacteria_bacterium_SCN_69-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3672	0	0	3.1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup_6;NA;NA;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2583
Bacteria;Acidobacteria;Subgroup_6;uncultured_actinobacterium;uncultured_actinobacterium;uncultured_actinobacterium;uncultured_actinobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup_6;uncultured_bacterium_AD106-G4;uncultured_bacterium_AD106-G4;uncultured_bacterium_AD106-G4;uncultured_bacterium_AD106-G4	0	0	30.7495	0	0	0	0	0	0	0	0	0	0	0	0.8209	0	1.9515	0.6738	0	0	0	4.482	2.9224	0	0	0	0	0	0	0	0	0	0	25.663	0	7.8417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup_9;NA;NA;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.9344	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup_9;uncultured_hydrocarbon_seep_bacterium_BPC015;uncultured_hydrocarbon_seep_bacterium_BPC015;uncultured_hydrocarbon_seep_bacterium_BPC015;uncultured_hydrocarbon_seep_bacterium_BPC015	0	0	0	0	0	0	0	0	0	0	4.8774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
